,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
216,239,"Warren Street Station, Euston",51.52443845,-0.138019439,20.0,5,True,False,False,10:30
217,238,"Frampton Street, Paddington",51.5233534,-0.175116099,15.0,15,True,False,False,10:30
218,237,"Vaughan Way, Wapping",51.5084448,-0.067176443,23.0,26,True,False,False,10:30
219,236,"Fashion Street, Whitechapel",51.51838043,-0.073438925,10.0,19,True,False,False,10:30
220,235,"Kennington Road  , Vauxhall",51.49571828,-0.11088927400000001,5.0,31,True,False,False,10:30
221,234,"Liverpool Road (N1 Centre), Angel",51.53450449,-0.10699270599999999,11.0,13,True,False,False,10:30
222,233,"Pall Mall East, West End",51.50777049,-0.130699733,22.0,0,True,False,False,10:30
223,232,"Carey Street, Holborn",51.51501025,-0.11275321699999999,16.0,0,True,False,False,10:30
224,231,"Queen's Gate (Central), South Kensington",51.49396755,-0.17873226,0.0,31,True,False,False,10:30
225,230,"Poured Lines, Bankside",51.50669284,-0.10313742599999999,16.0,15,True,False,False,10:30
226,229,"Whitehall Place, Strand",51.50654321,-0.12317969699999999,7.0,17,True,False,False,10:30
227,228,"St. James's Square, St. James's",51.50742485,-0.134621209,40.0,0,True,False,False,10:30
228,227,"Great Percy Street, Clerkenwell",51.52891573,-0.115480888,1.0,22,True,False,False,10:30
229,226,"Charles II Street, West End",51.50844614,-0.131961389,17.0,7,True,False,False,10:30
230,225,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,9.0,20,True,False,False,10:30
231,224,"Whiteley's, Bayswater",51.51476963,-0.18812973100000002,9.0,7,True,False,False,10:30
232,254,"Chadwell Street, Angel",51.53051587,-0.106408455,2.0,16,True,False,False,10:30
233,255,"Clifton Road, Maida Vale",51.52557531,-0.179592915,0.0,22,True,False,False,10:30
234,252,"Jubilee Gardens, South Bank",51.5046364,-0.11654227800000001,13.0,17,True,False,False,10:30
235,253,"Shoreditch Park, Hoxton",51.53404294,-0.086379717,3.0,26,True,False,False,10:30
236,250,"Royal Avenue 1, Chelsea",51.489932,-0.162727,5.0,5,True,False,False,10:30
237,251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,25.0,5,True,False,False,10:30
238,248,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,17.0,7,True,False,False,10:30
239,249,"Harper Road, Borough",51.49859784,-0.096191134,12.0,30,True,False,False,10:30
240,246,"Berry Street, Clerkenwell",51.52285301,-0.09999405199999999,39.0,1,True,False,False,10:30
